id;productName;ProductCategoriaName;productDateTime;productPrice;productMassa;productRashod;ShopName;ProductDiscont;productUnit;CategoriaShopping
99;Кусочки фруктовые фрут няня ;Пюре;11.02.2022;299.0;1.0;299.0;Магнум,Караганда, ;0.0;шт;Продукты
100;Bon Pari со вкусом 90гр;Суфле;11.02.2022;435.0;1.0;435.0;Магнум,Караганда, ;0.0;шт;Продукты
101;Garnier тканевая очищающая уголь ;Маска;11.02.2022;485.0;1.0;485.0;Магнум,Караганда, ;0.0;шт;Косметика
102;Детские B-2107;Варежки;11.02.2022;1639.0;1.0;1639.0;Магнум,Караганда, ;0.0;шт;Одежда
103;Бедро охлажденое;Курица;30.01.2022;1350.0;1854.0;25029.0;Акнар,Темиртау,пр Республики 6б;0.0;кг;Продукты
104;Майка П/З;Пакет;04.02.2022;15.0;1.0;15.0;FixPrice,Темиртау, мкр 6 д11;0.0;шт;Продукты
105;Veiro;Туаленая бумага;04.02.2022;500.0;1.0;500.0;FixPrice,Темиртау, мкр 6 д11;0.0;упаковка;Бытовая бумага
106;Полотенце;Plushe БигРолл;04.02.2022;350.0;1.0;350.0;FixPrice,Темиртау, мкр 6 д11;0.0;шт;Бытовая бумага
107;"сэндвич ""Супер-Конт""";Печенье;04.02.2022;500.0;1.0;500.0;FixPrice,Темиртау, мкр 6 д11;0.0;шт;К чаю
108;Mr. Ricco Оливковый ;Майонез;04.02.2022;350.0;1.0;350.0;FixPrice,Темиртау, мкр 6 д11;0.0;шт;К чаю
109;Подсолнечный 150гр;Козинак;04.02.2022;116.0;1.0;116.0;FixPrice,Темиртау, мкр 6 д11;0.0;шт;К чаю
110;БАРХАТ универсальные;Перчатки;04.02.2022;350.0;1.0;350.0;FixPrice,Темиртау, мкр 6 д11;0.0;пара;Бытовая химия
111;Астория Асс 180 гр;Соус;04.02.2022;165.0;1.0;165.0;FixPrice,Темиртау, мкр 6 д11;0.0;упаковка;Продукты
112;Mr.Ricco томатный ;Кетчук;04.02.2022;175.0;1.0;175.0;FixPrice,Темиртау, мкр 6 д11;0.0;пара;Продукты
113;Хоз. суперпрочные;Перчатки;04.02.2022;350.0;1.0;350.0;FixPrice,Темиртау, мкр 6 д11;0.0;пара;Бытовая химия
114;Ванильная Донские сладости;Пастила ;04.02.2022;165.0;1.0;165.0;FixPrice,Темиртау, мкр 6 д11;0.0;шт;Бытовая химия
115;Хозяйственные ;Перчатки;04.02.2022;330.0;1.0;330.0;FixPrice,Темиртау, мкр 6 д11;0.0;пара;Бытовая химия
116;FixPrice;Карта;04.02.2022;330.0;1.0;330.0;FixPrice,Темиртау, мкр 6 д11;0.0;шт;Сергей
117;майка Акнар;Пакет;28.01.2022;10.0;1.0;10.0;Акнар,Темиртау,м-он 6;0.0;шт;Продукты
118;с картошкой 0.45кг Акнар;Вареники;28.01.2022;350.0;1.0;350.0;Акнар,Темиртау,м-он 6;0.0;упаковка;Продукты
